ID_Unico;Titulo;Autor;Categoria;Anio_Escritura;Numero_Paginas;Calificacion_Usuarios;Stock_Disponible
f4e36417-75d4;El Aliento de el Mercurio Rojo;Elara Grimoire;Transmutación Metálica;1645;464;1,01;7
c721dbef-f870;La Esencia de la Transmutación Infinitas;Thalric Nightshade;Transmutación Metálica;1496;1317;2,51;32
5f0a4d55-eb1c;El Enigma de el Mercurio Rojo;Balthazar Nightshade;Botánica Arcana;1766;1063;1,34;41
63bab49d-52f5;Vórtice de el Azufre Sagrado;Seraphine Blackwood;Botánica Arcana;1802;662;3,65;23
a1a86fc7-d263;Códice de la Transmutación Infinitas;Caspian Flamel;Filosofía Prohibida;1380;325;1,95;14
bc83daf9-efe1;Vórtice de la Quintaesencia;Balthazar Grimoire;Filosofía Prohibida;1270;408;4,32;5
267cc481-c364;Vórtice de la Quintaesencia;Elara Vance;Transmutación Metálica;1411;102;1,76;29
dbf43c3a-76f2;Vórtice de el Mercurio Rojo;Isolde Nightshade;Historia de la Piedra;1460;488;1,84;42
e39053a8-44d2;Vórtice de el Azufre Sagrado;Caspian Crowley;Botánica Arcana;1739;709;3,81;27
285fee62-57f0;Vórtice de la Transmutación Infinitas;Elara Crowley;Historia de la Piedra;1969;253;2,13;22
656ff133-af48;Códice de el Azufre Sagrado;Elara Blackwood;Transmutación Metálica;1479;1145;4,91;8
8977c259-65c2;Espejos de el Azufre Sagrado;Seraphine Flamel;Historia de la Piedra;1221;1094;5;49
1b08b0a2-d3ff;El Enigma de el Mercurio Rojo;Caspian Crowley;Transmutación Metálica;1943;1202;1,7;12
dfea7283-af7f;Vórtice de el Mercurio Rojo;Seraphine Vance;Transmutación Metálica;1156;474;1,14;41
5653a846-0fb1;El Aliento de el Sol Negro;Aurelius Sterling;Filosofía Prohibida;1982;1020;3,28;34
18f31a4e-61fd;El Aliento de el Azufre Sagrado;Thalric Vance;Transmutación Metálica;1678;1332;3,76;23
eaf91779-0a81;Códice de la Quintaesencia;Morgana Flamel;Botánica Arcana;1233;638;4,5;36
425ae0ee-44f1;Sombras sobre las Almas de Plomo;Balthazar Blackwood;Botánica Arcana;1256;1119;4,03;26
6af96152-61ce;Sombras sobre la Transmutación Infinitas;Morgana Nightshade;Alquimia Teórica;1538;568;1,26;33
2d2501da-542e;Espejos de el Azufre Sagrado;Aurelius Sterling;Alquimia Teórica;1740;587;1,15;20
464044ea-aa6b;El Enigma de la Transmutación Infinitas;Elara Vance;Alquimia Teórica;1894;760;4,78;10
1ae8fa7c-969e;Vórtice de el Sol Negro;Seraphine Flamel;Filosofía Prohibida;1824;1085;2,5;26
6885342f-cb5f;Sombras sobre las Almas de Plomo;Elara Flamel;Filosofía Prohibida;1542;1235;3,38;26
5f72ad21-2416;Espejos de las Almas de Plomo;Elara Nightshade;Botánica Arcana;1818;1026;4,42;28
c90ccb89-985f;La Esencia de el Mercurio Rojo;Caspian Crowley;Transmutación Metálica;1223;978;4,32;20
6d09f1ee-ed8a;Vórtice de la Quintaesencia;Elara Blackwood;Filosofía Prohibida;1682;1061;2,14;42
37821ab6-6537;Códice de la Quintaesencia;Balthazar Sterling;Filosofía Prohibida;1235;1364;3,28;10
88f0a325-dc33;La Esencia de la Transmutación Infinitas;Morgana Flamel;Botánica Arcana;1388;466;1,12;48
d75a135d-95b7;Sombras sobre el Azufre Sagrado;Aurelius Vance;Alquimia Teórica;1999;554;3,89;46
f6e28bc9-c27f;Sombras sobre el Mercurio Rojo;Elara Nightshade;Botánica Arcana;1441;102;2,02;28
6c1d0c07-8aa9;Sombras sobre el Mercurio Rojo;Elara Grimoire;Filosofía Prohibida;1774;1162;1,32;36
192de6c8-7577;Vórtice de la Transmutación Infinitas;Thalric Sterling;Historia de la Piedra;1990;344;1,53;24
43c0a4a7-3128;Espejos de la Transmutación Infinitas;Caspian Vance;Historia de la Piedra;1366;1006;4,76;37
f22af908-62be;La Esencia de las Almas de Plomo;Thalric Sterling;Filosofía Prohibida;1906;684;1,8;32
0715fdaa-b948;El Aliento de el Mercurio Rojo;Thalric Crowley;Alquimia Teórica;1614;389;3,35;39
e48df5a9-6b9a;Espejos de el Mercurio Rojo;Aurelius Vance;Historia de la Piedra;1595;1067;4,18;24
68f81d31-c2ed;Códice de el Mercurio Rojo;Seraphine Flamel;Alquimia Teórica;1222;487;1,99;39
6a69bd35-6c7c;El Enigma de el Mercurio Rojo;Caspian Grimoire;Transmutación Metálica;1733;374;1,27;50
41ea3957-4401;La Esencia de el Azufre Sagrado;Balthazar Sterling;Botánica Arcana;1385;1171;3,47;8
4fbdbe1d-6b08;Códice de el Sol Negro;Isolde Sterling;Filosofía Prohibida;1477;379;3,67;40
db7c56ed-c9bf;Espejos de el Sol Negro;Caspian Vance;Botánica Arcana;1942;1476;3,02;16
293cae11-1c4f;El Enigma de el Sol Negro;Isolde Crowley;Alquimia Teórica;1101;303;1,09;24
6e8cb97f-230f;La Esencia de la Quintaesencia;Balthazar Blackwood;Filosofía Prohibida;1603;1326;1,87;21
75db4eee-582b;Vórtice de la Transmutación Infinitas;Balthazar Nightshade;Filosofía Prohibida;1998;733;1,19;10
a4a8652e-821c;El Enigma de el Sol Negro;Caspian Crowley;Alquimia Teórica;1392;1060;4,05;19
6058a5cd-cf19;Tratado de el Sol Negro;Balthazar Nightshade;Transmutación Metálica;1320;1458;4,5;0
114ca841-bea5;El Aliento de la Quintaesencia;Seraphine Flamel;Botánica Arcana;1192;375;2,95;8
cfe6dbf2-7bc4;El Aliento de el Sol Negro;Caspian Blackwood;Filosofía Prohibida;1986;978;3,26;48
78f868c1-4d44;La Esencia de las Almas de Plomo;Balthazar Sterling;Alquimia Teórica;1404;1038;3,08;2
46a6832a-5f52;Sombras sobre el Sol Negro;Isolde Flamel;Alquimia Teórica;1574;962;2,62;32
11c0c752-00fd;El Aliento de la Quintaesencia;Balthazar Blackwood;Filosofía Prohibida;1590;419;4,9;4
8a381766-302c;Espejos de la Transmutación Infinitas;Elara Blackwood;Transmutación Metálica;1324;921;3,01;10
91b69c59-e6e1;Tratado de la Quintaesencia;Balthazar Flamel;Botánica Arcana;1347;1452;1,3;39
c714ec21-d776;Sombras sobre la Quintaesencia;Balthazar Vance;Transmutación Metálica;1717;851;3,91;13
9f359e7e-47ec;La Esencia de las Almas de Plomo;Caspian Crowley;Transmutación Metálica;1661;1398;1,36;13
c7e63efc-04a2;El Aliento de las Almas de Plomo;Caspian Grimoire;Botánica Arcana;1283;748;4,53;47
904b24c0-fe50;Espejos de la Quintaesencia;Seraphine Nightshade;Alquimia Teórica;1694;403;4,6;29
9b510a55-8a35;Vórtice de el Azufre Sagrado;Morgana Vance;Filosofía Prohibida;1854;1076;3,59;41
ef624040-4271;El Enigma de la Transmutación Infinitas;Isolde Vance;Historia de la Piedra;1985;901;4,96;11
7c08adc4-3e9d;El Aliento de el Sol Negro;Aurelius Crowley;Alquimia Teórica;1206;650;1,33;20
6f312233-269c;La Esencia de el Azufre Sagrado;Caspian Flamel;Historia de la Piedra;1460;353;3,63;1
0a6849e3-6d20;Códice de la Quintaesencia;Caspian Blackwood;Filosofía Prohibida;1265;583;4,54;5
6a210e2e-299e;Códice de las Almas de Plomo;Caspian Vance;Transmutación Metálica;1687;191;4,92;9
cd9d0815-6eae;Sombras sobre el Sol Negro;Morgana Grimoire;Alquimia Teórica;1615;928;1,42;8
f1aafc4c-b7fd;Tratado de la Quintaesencia;Caspian Vance;Alquimia Teórica;1311;1232;2,95;48
2ed96139-1538;El Enigma de la Quintaesencia;Balthazar Flamel;Filosofía Prohibida;1800;992;3,13;34
2a7a0578-2729;El Enigma de el Sol Negro;Seraphine Blackwood;Alquimia Teórica;1108;634;3,43;50
8c4f0758-88d0;El Aliento de el Azufre Sagrado;Morgana Blackwood;Filosofía Prohibida;1599;1248;1,48;48
f8189096-cae3;Sombras sobre el Azufre Sagrado;Aurelius Sterling;Historia de la Piedra;1216;494;3,25;4
da4a31f2-8341;Sombras sobre el Mercurio Rojo;Seraphine Vance;Filosofía Prohibida;1437;1300;1,53;44
3444f137-d117;La Esencia de la Transmutación Infinitas;Morgana Blackwood;Alquimia Teórica;1774;1401;4,75;46
25b3aeff-cba9;El Enigma de el Azufre Sagrado;Seraphine Crowley;Alquimia Teórica;1251;1345;1,28;40
d6717ae1-c7f8;Códice de la Transmutación Infinitas;Caspian Blackwood;Botánica Arcana;1579;457;3,82;22
445d8cd7-941c;Vórtice de la Quintaesencia;Aurelius Crowley;Transmutación Metálica;1884;970;2,46;20
09e540a9-b070;La Esencia de la Transmutación Infinitas;Isolde Flamel;Botánica Arcana;1771;157;1,03;36
37751bb9-f265;La Esencia de la Transmutación Infinitas;Aurelius Vance;Alquimia Teórica;1682;1070;2,29;33
5e241f3d-160d;Sombras sobre las Almas de Plomo;Thalric Flamel;Historia de la Piedra;1378;1330;4,24;19
59755f9b-37b0;La Esencia de la Quintaesencia;Thalric Flamel;Transmutación Metálica;1824;1324;1,08;45
f680d9c6-4162;Tratado de el Sol Negro;Morgana Nightshade;Historia de la Piedra;1883;1379;2,51;1
77723069-afdc;El Enigma de las Almas de Plomo;Balthazar Crowley;Transmutación Metálica;1893;146;1,71;45
868aa0e9-cbe1;Tratado de el Azufre Sagrado;Elara Crowley;Transmutación Metálica;1833;565;4,81;26
4787f4db-c274;Vórtice de la Transmutación Infinitas;Thalric Flamel;Filosofía Prohibida;1743;1174;4,39;41
04bf93af-3631;Códice de la Quintaesencia;Balthazar Flamel;Alquimia Teórica;1554;325;3,21;9
689ec35a-4202;La Esencia de la Transmutación Infinitas;Isolde Nightshade;Historia de la Piedra;1924;455;1,46;49
8223f199-1351;Vórtice de la Quintaesencia;Balthazar Grimoire;Filosofía Prohibida;1244;978;1,04;43
8ea8e695-2f50;El Enigma de el Azufre Sagrado;Aurelius Flamel;Transmutación Metálica;1162;815;3,17;40
4ed319ab-4ba6;El Aliento de el Azufre Sagrado;Isolde Vance;Filosofía Prohibida;1912;924;4,49;48
8ec549c8-fab0;La Esencia de el Azufre Sagrado;Isolde Grimoire;Botánica Arcana;1114;146;3,83;30
edc9d5e8-0b4c;Códice de el Sol Negro;Thalric Crowley;Alquimia Teórica;1809;1156;3,11;45
c79efc65-8c74;La Esencia de las Almas de Plomo;Seraphine Flamel;Botánica Arcana;1355;283;4,27;2
fb775c4e-1d4f;Tratado de la Transmutación Infinitas;Isolde Grimoire;Historia de la Piedra;1271;985;1,8;5
80969442-a378;Vórtice de el Mercurio Rojo;Caspian Flamel;Historia de la Piedra;1681;1337;2,33;45
f8c2ab37-adea;Códice de las Almas de Plomo;Caspian Sterling;Historia de la Piedra;1383;659;3,26;11
e1a53874-7451;Códice de el Azufre Sagrado;Aurelius Crowley;Transmutación Metálica;1549;468;2,81;11
7949d941-5c4c;Sombras sobre la Transmutación Infinitas;Caspian Nightshade;Transmutación Metálica;1175;1388;3,85;38
36d8c627-d986;Tratado de la Transmutación Infinitas;Aurelius Vance;Alquimia Teórica;1698;661;4,07;49
1920399c-da7e;El Enigma de la Transmutación Infinitas;Elara Vance;Botánica Arcana;1574;1114;4,17;48
d582b52e-38e4;La Esencia de el Mercurio Rojo;Caspian Vance;Alquimia Teórica;1583;1154;2,71;8
81ce8fe7-1ee5;El Aliento de el Sol Negro;Balthazar Nightshade;Botánica Arcana;1514;489;3,53;30
5f5a6351-6e7e;Códice de la Quintaesencia;Isolde Crowley;Botánica Arcana;1288;163;1,15;43
3251bd72-7a17;El Enigma de las Almas de Plomo;Seraphine Crowley;Botánica Arcana;1620;1099;4,3;34
e1b40dcc-5e1b;Vórtice de el Azufre Sagrado;Balthazar Grimoire;Filosofía Prohibida;1516;904;3,03;45
afd1216d-8d84;Tratado de el Sol Negro;Morgana Sterling;Transmutación Metálica;2012;1013;4,26;24
5fffd203-7003;Espejos de la Transmutación Infinitas;Elara Nightshade;Historia de la Piedra;1586;644;1,66;46
25b7bccd-dcec;Tratado de la Quintaesencia;Thalric Crowley;Filosofía Prohibida;1850;976;1,21;21
562c1457-8a41;Sombras sobre la Quintaesencia;Balthazar Sterling;Transmutación Metálica;1631;1307;2,51;41
5a7a0716-42ba;El Enigma de la Transmutación Infinitas;Seraphine Sterling;Historia de la Piedra;1878;269;4,72;24
1a10e6ec-b475;Espejos de el Sol Negro;Thalric Nightshade;Filosofía Prohibida;1821;965;3,38;16
d46ebfd9-61d6;El Enigma de el Mercurio Rojo;Caspian Sterling;Transmutación Metálica;1176;590;1,71;0
dfe85062-32df;Tratado de el Azufre Sagrado;Thalric Flamel;Alquimia Teórica;1204;341;4,35;14
d6d3447b-7578;La Esencia de el Azufre Sagrado;Thalric Blackwood;Alquimia Teórica;1742;718;4,3;15
6e3d2196-2200;Tratado de la Quintaesencia;Balthazar Vance;Transmutación Metálica;1675;891;3,18;25
b507c107-fe04;Vórtice de el Azufre Sagrado;Balthazar Nightshade;Botánica Arcana;1330;393;3,96;11
dd919b88-5684;Espejos de el Sol Negro;Balthazar Flamel;Filosofía Prohibida;1186;1450;4,87;0
34aa76d0-9403;Espejos de el Azufre Sagrado;Seraphine Sterling;Botánica Arcana;1361;1084;2,47;19
bcf841a8-7e2a;Vórtice de las Almas de Plomo;Elara Grimoire;Botánica Arcana;1604;1451;2,05;30
07652fcf-6fb2;El Enigma de el Mercurio Rojo;Seraphine Nightshade;Botánica Arcana;1265;423;4,73;21
bdbdcd68-ed15;Espejos de las Almas de Plomo;Seraphine Crowley;Filosofía Prohibida;1416;146;4,38;6
eadee9fa-cebc;La Esencia de la Transmutación Infinitas;Elara Blackwood;Alquimia Teórica;1108;229;2,14;42
5560ff4c-6ea3;Códice de el Azufre Sagrado;Aurelius Flamel;Alquimia Teórica;1172;1214;4,07;13
0546839c-4123;Espejos de el Mercurio Rojo;Caspian Crowley;Alquimia Teórica;2005;1336;2,21;19
9d1399f8-20fc;El Aliento de la Transmutación Infinitas;Morgana Grimoire;Filosofía Prohibida;1814;214;2,74;34
83a9c275-781c;Espejos de el Sol Negro;Caspian Nightshade;Historia de la Piedra;1922;808;4,27;16
27e21417-f764;La Esencia de la Quintaesencia;Seraphine Sterling;Alquimia Teórica;1865;1128;4,05;9
a09fb9ae-3176;La Esencia de el Sol Negro;Morgana Blackwood;Filosofía Prohibida;1422;213;2,23;1
f924cb16-0957;La Esencia de la Quintaesencia;Aurelius Grimoire;Transmutación Metálica;1888;1438;3,7;50
4c181217-f56a;Vórtice de las Almas de Plomo;Seraphine Crowley;Transmutación Metálica;1397;1356;3,04;26
c68b2122-5667;Vórtice de el Sol Negro;Seraphine Grimoire;Alquimia Teórica;1904;1292;4,61;6
00dcc371-ffb2;La Esencia de el Sol Negro;Elara Nightshade;Alquimia Teórica;1721;1355;3,68;16
1d0788f6-bc3a;Tratado de las Almas de Plomo;Thalric Vance;Filosofía Prohibida;1374;360;3,8;34
c90ad54f-c5c7;Vórtice de la Quintaesencia;Elara Grimoire;Transmutación Metálica;1118;1084;3,95;32
588d5676-5401;Sombras sobre la Quintaesencia;Elara Vance;Historia de la Piedra;1563;187;3,4;22
ffab6e14-7b6e;La Esencia de el Sol Negro;Morgana Flamel;Botánica Arcana;1647;1366;3,55;29
c7e61d87-d937;Códice de la Transmutación Infinitas;Morgana Grimoire;Botánica Arcana;2019;381;4,14;12
934f4118-0ef0;La Esencia de la Quintaesencia;Balthazar Blackwood;Filosofía Prohibida;1615;1398;4,92;16
f277701e-c513;Tratado de las Almas de Plomo;Caspian Blackwood;Historia de la Piedra;1455;892;3,34;21
e8fb059e-24e0;Códice de la Quintaesencia;Thalric Grimoire;Botánica Arcana;1625;822;4,52;18
839cbbcc-d091;El Aliento de el Mercurio Rojo;Morgana Crowley;Transmutación Metálica;1615;1038;2,33;2
1a75fa41-993b;La Esencia de la Transmutación Infinitas;Seraphine Vance;Transmutación Metálica;1244;1230;1,23;11
1b674528-64ab;Tratado de el Azufre Sagrado;Seraphine Sterling;Botánica Arcana;1989;347;2,83;5
51add291-fa34;Códice de el Sol Negro;Seraphine Blackwood;Historia de la Piedra;1151;1187;2,31;5
77729c50-df01;Vórtice de el Azufre Sagrado;Morgana Blackwood;Botánica Arcana;1377;131;4,09;1
ccc9b899-3c74;Espejos de la Quintaesencia;Caspian Sterling;Botánica Arcana;1877;1212;2,37;1
9e6b48ad-4084;La Esencia de las Almas de Plomo;Seraphine Grimoire;Botánica Arcana;1107;89;3,77;35
13540ac0-dde0;Tratado de el Sol Negro;Thalric Vance;Filosofía Prohibida;1137;843;1,4;27
90a4395f-76b5;Tratado de el Azufre Sagrado;Aurelius Flamel;Transmutación Metálica;1211;1111;4,2;3
a0601981-4fd9;Códice de el Mercurio Rojo;Seraphine Nightshade;Transmutación Metálica;1496;925;2,33;43
bf049aa3-5d80;Vórtice de las Almas de Plomo;Caspian Nightshade;Botánica Arcana;1106;1195;2,74;0
462da29b-4476;El Aliento de la Quintaesencia;Elara Blackwood;Botánica Arcana;1549;1238;4,41;19
46a95611-8cc2;El Aliento de el Sol Negro;Seraphine Sterling;Botánica Arcana;1957;605;4,94;35
30a56201-2e71;Tratado de la Transmutación Infinitas;Isolde Nightshade;Transmutación Metálica;1579;87;4,92;14
5ee5705b-5879;Espejos de la Transmutación Infinitas;Balthazar Sterling;Historia de la Piedra;1841;849;2,37;20
6371ebc2-18d4;Códice de el Mercurio Rojo;Aurelius Nightshade;Botánica Arcana;1577;1228;4,35;49
a681e63f-6b13;El Enigma de la Transmutación Infinitas;Caspian Flamel;Filosofía Prohibida;1141;1167;4,52;34
7c621ef8-3c4a;Códice de el Sol Negro;Aurelius Grimoire;Transmutación Metálica;1116;135;2,23;47
8e37cd9c-bf2f;Espejos de el Mercurio Rojo;Balthazar Blackwood;Historia de la Piedra;1210;768;3,61;33
b84e63b3-8c7a;Tratado de la Transmutación Infinitas;Seraphine Sterling;Transmutación Metálica;1513;1029;3,98;33
60fd9b61-b443;Vórtice de el Mercurio Rojo;Morgana Sterling;Alquimia Teórica;1261;1058;2,97;1
f63d8941-1fc6;Tratado de la Transmutación Infinitas;Isolde Blackwood;Transmutación Metálica;1288;999;1,6;14
4b438185-bfce;El Enigma de la Quintaesencia;Aurelius Flamel;Alquimia Teórica;1351;83;1,22;12
8d143c4e-7942;La Esencia de las Almas de Plomo;Thalric Crowley;Alquimia Teórica;1475;691;3,4;11
9b8d0a0f-5479;La Esencia de las Almas de Plomo;Isolde Flamel;Historia de la Piedra;1852;1353;4,25;46
d4f11092-1d28;Tratado de las Almas de Plomo;Isolde Blackwood;Alquimia Teórica;1572;1196;4,42;5
fb7a6eb0-cd7c;Códice de las Almas de Plomo;Elara Vance;Botánica Arcana;1919;1327;3,25;45
97b7a2e7-c490;Códice de la Transmutación Infinitas;Seraphine Vance;Historia de la Piedra;1342;1029;1,82;2
4531f543-80ba;Espejos de el Mercurio Rojo;Elara Flamel;Historia de la Piedra;1577;769;4,76;33
0cce278b-6ec4;Espejos de el Mercurio Rojo;Aurelius Vance;Filosofía Prohibida;1611;1189;3,79;11
a8d347f8-312e;La Esencia de el Mercurio Rojo;Elara Crowley;Botánica Arcana;1837;631;4,26;34
c29fb7dc-86f0;Vórtice de el Sol Negro;Seraphine Sterling;Historia de la Piedra;1913;1177;1,23;39
27d3d910-f832;Sombras sobre la Quintaesencia;Elara Vance;Alquimia Teórica;1548;470;3,26;42
c180268b-9547;El Aliento de la Transmutación Infinitas;Morgana Sterling;Historia de la Piedra;1401;721;2,24;9
d615e1fb-f244;Vórtice de las Almas de Plomo;Seraphine Grimoire;Historia de la Piedra;1567;647;4,68;27
7b5d387d-cef9;El Aliento de la Quintaesencia;Morgana Blackwood;Botánica Arcana;1900;139;2,04;42
086ce605-8f1b;Sombras sobre la Quintaesencia;Morgana Crowley;Historia de la Piedra;2007;1305;2,73;21
fe01cfcd-dc6d;La Esencia de el Sol Negro;Seraphine Flamel;Filosofía Prohibida;1820;437;2,62;45
440d36a6-ba10;Sombras sobre el Azufre Sagrado;Morgana Blackwood;Botánica Arcana;1104;1181;4,62;12
530c1a59-a706;La Esencia de el Mercurio Rojo;Morgana Flamel;Botánica Arcana;1908;1294;2,95;1
d6c7d188-c6d9;El Aliento de la Transmutación Infinitas;Balthazar Vance;Filosofía Prohibida;1303;1417;4,97;43
bf23819e-87fa;Espejos de la Transmutación Infinitas;Isolde Nightshade;Botánica Arcana;1393;972;3,34;12
768a5815-e5f6;El Aliento de el Sol Negro;Thalric Blackwood;Filosofía Prohibida;1768;1137;3,63;13
8b8a60dd-2b90;El Aliento de el Azufre Sagrado;Thalric Blackwood;Transmutación Metálica;1539;1050;2,6;32
43302a72-08a2;Espejos de el Sol Negro;Elara Crowley;Filosofía Prohibida;1940;730;1,47;15
64a4314b-6333;Tratado de el Azufre Sagrado;Balthazar Flamel;Botánica Arcana;1282;361;2,57;40
75f80196-b5b5;Espejos de el Sol Negro;Seraphine Grimoire;Historia de la Piedra;1332;699;4,06;28
d9bf63cd-5b57;Espejos de el Sol Negro;Elara Sterling;Historia de la Piedra;1351;731;2,26;31
c009caa8-e10f;Espejos de el Mercurio Rojo;Aurelius Sterling;Transmutación Metálica;1909;827;3,27;14
c67d3e1f-f77c;El Enigma de el Mercurio Rojo;Seraphine Vance;Alquimia Teórica;1973;326;3,09;40
b287359e-f51c;Tratado de la Transmutación Infinitas;Elara Flamel;Filosofía Prohibida;1651;1065;4,23;13
921bfa5e-537b;Sombras sobre la Quintaesencia;Seraphine Crowley;Transmutación Metálica;1512;418;4,68;39
38b195de-2672;Vórtice de el Sol Negro;Aurelius Sterling;Botánica Arcana;1142;1230;4,79;10
25bda7ee-b938;El Aliento de el Azufre Sagrado;Morgana Flamel;Transmutación Metálica;1802;423;1,28;5
fd919056-2fe2;Espejos de el Mercurio Rojo;Morgana Vance;Alquimia Teórica;1567;646;4,82;10
71d6c6cd-ddf6;Vórtice de las Almas de Plomo;Balthazar Nightshade;Filosofía Prohibida;1117;943;4,96;34
9ae720c6-3f57;Tratado de la Transmutación Infinitas;Caspian Sterling;Historia de la Piedra;1313;213;1,94;5
512d4d2d-a579;La Esencia de las Almas de Plomo;Isolde Grimoire;Historia de la Piedra;1636;1475;1,33;46
09bbd933-653d;El Enigma de la Transmutación Infinitas;Morgana Nightshade;Alquimia Teórica;1974;199;4,03;38
659f84c5-b368;El Enigma de la Transmutación Infinitas;Caspian Vance;Filosofía Prohibida;1224;654;3,6;28
c0d6f383-39d4;Códice de el Mercurio Rojo;Balthazar Sterling;Historia de la Piedra;1442;639;3,78;18
b163a36d-f2b8;Vórtice de la Transmutación Infinitas;Caspian Nightshade;Historia de la Piedra;1508;892;2,14;39
a161495d-7630;Vórtice de el Sol Negro;Thalric Grimoire;Historia de la Piedra;1574;369;2,22;18
a33cd6a2-0f5d;Sombras sobre el Mercurio Rojo;Aurelius Sterling;Botánica Arcana;1582;128;2,41;47
17e4047b-3c42;Sombras sobre las Almas de Plomo;Thalric Flamel;Botánica Arcana;2001;1469;4,72;6
ea62351a-053e;Tratado de el Mercurio Rojo;Caspian Blackwood;Botánica Arcana;1899;1242;1,57;21
69987f3c-1ddf;Vórtice de el Sol Negro;Isolde Grimoire;Transmutación Metálica;1537;844;1,9;36
0cc3d7bb-5d61;Vórtice de el Mercurio Rojo;Isolde Flamel;Alquimia Teórica;1257;559;1,42;40
acf52eac-6d97;Espejos de las Almas de Plomo;Isolde Vance;Filosofía Prohibida;1984;859;3,42;34
dd6b50bc-cdca;Vórtice de el Mercurio Rojo;Elara Flamel;Transmutación Metálica;1320;1285;4,63;30
2e9ef0a5-9bd9;Sombras sobre la Quintaesencia;Morgana Blackwood;Alquimia Teórica;1601;276;1,26;34
54f9680c-5bfa;Espejos de las Almas de Plomo;Isolde Blackwood;Filosofía Prohibida;1986;257;3,04;31
1c96d10f-4164;Vórtice de la Transmutación Infinitas;Isolde Flamel;Botánica Arcana;1768;637;4,04;38
b97025d8-e299;Espejos de las Almas de Plomo;Morgana Sterling;Transmutación Metálica;1293;1465;2,2;2
48f9d26b-8160;Códice de el Azufre Sagrado;Thalric Nightshade;Filosofía Prohibida;1549;1475;2,59;39
565c04d3-d75c;Vórtice de la Transmutación Infinitas;Elara Blackwood;Filosofía Prohibida;1342;280;2,1;5
1001d8cd-6c07;Tratado de el Mercurio Rojo;Morgana Nightshade;Filosofía Prohibida;1267;1366;3,53;7
a15032bb-94c1;Tratado de el Mercurio Rojo;Caspian Flamel;Botánica Arcana;1891;1489;1,93;50
eadd89d1-b3bb;El Aliento de las Almas de Plomo;Isolde Sterling;Historia de la Piedra;1514;511;3,45;37
cbe2ae2f-7d21;La Esencia de el Sol Negro;Morgana Crowley;Botánica Arcana;1952;125;4,87;42
62a130a4-ac50;Sombras sobre la Quintaesencia;Isolde Nightshade;Historia de la Piedra;1819;1070;1,96;16
8165ec7c-0508;Espejos de el Sol Negro;Morgana Grimoire;Filosofía Prohibida;1280;1013;2,21;47
c163336a-0076;La Esencia de las Almas de Plomo;Isolde Sterling;Filosofía Prohibida;1274;498;1,51;7
3502e9c9-aed0;Espejos de el Sol Negro;Elara Grimoire;Botánica Arcana;1686;1070;4,47;37
5c93b527-8140;Códice de el Azufre Sagrado;Elara Vance;Botánica Arcana;1977;209;3,26;31
5e6e3b2b-b14f;Sombras sobre el Mercurio Rojo;Balthazar Blackwood;Alquimia Teórica;1231;676;1,4;29
fa2a1bf4-d0fa;Tratado de el Mercurio Rojo;Thalric Flamel;Transmutación Metálica;1175;1023;2,5;16
a0436a98-4ba2;Tratado de el Sol Negro;Seraphine Flamel;Transmutación Metálica;1400;1282;3,89;36
139673cb-082f;Códice de el Azufre Sagrado;Morgana Vance;Transmutación Metálica;1501;1211;2,06;41
507776ba-bbcb;Vórtice de el Mercurio Rojo;Seraphine Crowley;Botánica Arcana;1232;719;4,61;45
b4f6b7bf-bb2b;El Enigma de el Azufre Sagrado;Seraphine Nightshade;Botánica Arcana;1794;499;1,58;26
645064ac-488a;Vórtice de el Mercurio Rojo;Thalric Blackwood;Historia de la Piedra;1346;88;4,82;47
fe8c6e6f-b529;Espejos de el Sol Negro;Elara Vance;Alquimia Teórica;1429;1261;2,13;45
077e28af-61bb;Espejos de la Transmutación Infinitas;Morgana Grimoire;Filosofía Prohibida;1922;1226;4,61;25
3c48b36f-3af2;Códice de el Mercurio Rojo;Seraphine Nightshade;Alquimia Teórica;1826;1328;2,66;11
257b8d91-3271;Vórtice de el Azufre Sagrado;Aurelius Crowley;Botánica Arcana;1621;1188;1,22;47
fa062d28-9b32;Vórtice de el Azufre Sagrado;Balthazar Grimoire;Botánica Arcana;1551;745;3,76;48
d31f216d-448e;Sombras sobre el Mercurio Rojo;Isolde Grimoire;Historia de la Piedra;2010;511;3,35;2
d7a78e4a-96ed;El Aliento de las Almas de Plomo;Elara Blackwood;Botánica Arcana;1466;616;4,83;50
d1ebe9c0-82ad;Espejos de la Transmutación Infinitas;Morgana Nightshade;Historia de la Piedra;1169;1123;3,65;2
bc0e8145-9212;Tratado de el Azufre Sagrado;Thalric Blackwood;Transmutación Metálica;1749;1471;2,54;33
cdf8b356-9025;Tratado de la Transmutación Infinitas;Elara Nightshade;Alquimia Teórica;1492;429;1,51;23
9d834efb-beaa;Códice de la Quintaesencia;Balthazar Grimoire;Alquimia Teórica;1618;580;2,2;41
0ed9fcc3-6303;Vórtice de el Sol Negro;Caspian Grimoire;Botánica Arcana;1455;656;3,21;24
e55072d9-51d7;Códice de el Sol Negro;Thalric Sterling;Botánica Arcana;1716;649;2,45;29
f63c52a9-8317;El Enigma de el Mercurio Rojo;Caspian Grimoire;Botánica Arcana;1383;660;3,63;12
96ec0f55-b1e3;El Enigma de las Almas de Plomo;Thalric Sterling;Transmutación Metálica;1870;1043;1,34;34
